,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2015.8,2015.9,2015. 10,2015. 11,2015. 12,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016. 10,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017. 10,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018. 10
SEOUL,224.02,236.27,266.62,274.54,238.24,221.06,229.18,239.96,245.86,229.67,219.15,217.34,216.52,228.58,247.28,246.61,222.42,216.19,226.53,239.98,245.03,228.09,218.54,215.3,212.15,222.52,253.37,258.44,222.97,212.55,222.29,234.29,243.37,232.08,219.03,212.29,210.59,225.13,274.9,288.29,233.85,210.03,217.86,228.84,237.13,223.18,212.31,209.35,205.91,228.87,273.99,266.48,218.28,208.28,220.73,236.48,245.98,229.05,213.57,209.54,208.03,229.05,307.91,315.89,230.95,200.74
BUSAN,225.01,223.49,232.37,294.6,256.9,218.05,228.81,240.64,259.12,259.63,227.54,236.23,217.8,218.6,221.18,250.48,230.85,212.1,227.91,238.86,259.93,255.84,226.15,235.1,215.88,215.04,213.33,267.07,229.07,208.97,223.05,232.27,251.82,258.54,229.37,230.85,212.54,213.28,224.52,292.1,246.4,210.83,220.93,229.01,245.31,249.9,215.08,228.38,207.38,207.15,234.59,286.31,239.32,206.24,216.14,230.5,250.85,253.81,217.4,223.88,208.54,212.12,238.93,333.85,251.36,206
DAEGU,218.45,227.74,271.26,280.62,234.56,220.07,232.19,244.87,252.15,236.66,225.01,220.89,214.87,219.55,238.69,239.29,216.09,217.16,230.83,244.32,250.08,233.34,223.24,218.08,210.49,211.81,247.28,252.96,213.24,210.49,222.29,234.4,243.66,231.94,218.76,210.71,204.57,213.81,259.25,270.7,223.35,208.33,217.6,228.07,236.17,222.06,211.18,207.53,201.88,222.79,261.84,256.01,214.71,205.9,219.14,234.72,244.26,228.46,214.19,209.48,206.12,225.6,297.72,300.2,223.45,200.64
INCHEON,278.61,286.96,299.22,355.77,313.22,276.61,290.13,299.8,255.62,255.62,221.71,231.26,218.71,224.19,230.83,258.86,236.99,215.5,229.33,239.47,257.49,252.2,221.63,230.93,214.64,214.64,225.15,274.32,239.4,211.9,225.11,233.85,250.92,254.23,227.5,227.83,212.78,216.65,231.07,309.05,259.6,210.74,223.2,232.36,247.02,250.62,217.01,225.84,209.03,211.24,242.94,296.26,233.49,207.12,219.73,236.42,252.89,256.78,219.06,224.58,210.02,214.65,241.38,365.34,365.34,207.19
GWAGN-JU,223.56,224.09,231.57,285.24,261.02,217.98,228.81,238.6,254.93,253.19,222.64,231.67,216.38,218.53,218.1,246.23,228.43,210.11,223.95,234.21,251.64,249.29,220.04,229.15,212.78,213.17,215.23,263.41,228.75,206.56,220.47,230.14,244.91,250.3,223.78,224.2,209.19,211.27,224.5,290.19,254.17,209.09,220.65,227.21,241.48,244.71,213.27,225.17,205.58,206.84,231.21,297.52,239.85,205.34,216.29,228.02,245.1,248.36,214.54,221.2,206.84,212.27,236.38,345.18,269.89,206.86
DAE-JEON,211.8,218.42,247.38,256.29,223.63,211.79,222.85,234.4,241.47,225.54,214.27,211.02,205.82,210.61,225.46,226.74,207.54,207.69,220.45,233.12,239.08,222.34,212.62,209.23,202.76,205.93,232.14,237.66,206.52,202.25,214.02,225.02,233.83,223.26,210.46,202.64,197.27,206.54,247.79,261.44,217.27,199.96,209.86,220.29,228.71,214.39,203.36,199.83,191.82,205.74,243.58,242.46,203.42,195.58,208.58,223.34,233.12,217.87,203.35,198.71,194.22,207.07,274.64,287.62,214.76,186.63
UL-SAN,228.83,234.05,276.77,295.14,249.86,228.86,238.33,249.93,257.92,243.75,233.39,229.25,222.42,224.32,243.45,248.88,226.77,224.65,235.92,249.68,257.59,240.01,229.35,226.23,217.14,215.95,248.29,258.99,224.22,218.68,229.3,241.14,252.61,241.97,229.5,222.17,214.15,220.29,259.36,274.4,234.45,217.82,223.94,233.87,243.58,229.14,219.51,215.57,205.98,218.79,260.15,265.67,223.82,210.58,221.05,235.93,247.09,230.99,216.93,212.98,208.25,221.04,284.56,295.99,228.91,203.76
GYEONGGI-DO,210.9,236.48,246.85,298.41,253.28,227.47,238.8,245.34,380.53,256.93,223.87,234.39,221.19,228.39,234.71,260.77,238.01,218.43,231.89,241.52,259.02,253.41,223.53,233.47,217.48,222.68,228.66,275.72,240.36,213.93,228.43,236.46,252.03,255.76,229.02,228.65,214.74,219.25,231.93,304.69,262.66,212.84,225.89,232.65,247.54,251.4,217.96,228.28,212.24,215.67,244.89,298.13,237.4,210.58,223.9,237.86,255.79,257.93,220.74,227.42,213.45,219.86,241.81,364.67,266.63,210.9
GANGWON-DO,202.9,201.84,217.55,225.52,208.77,204.97,214.74,226.09,233.96,219.64,207.41,203.65,197.39,196.52,205.77,209.96,199.09,202.16,214.03,227.1,233.26,216.79,206.99,202.48,193,191.35,207.07,212.84,195.74,197.17,209.45,220.2,229.38,219.5,206.09,197.55,189.52,189.97,209.95,221.95,201.42,195.63,205.84,215.42,224.53,210.75,199.51,195.09,185.88,191.33,211.98,226.96,173.38,169.18,168.74,160.11,157.61,153.02,150.86,154.73,152.05,145.27,163.34,177.68,158.42,149.76
CHUNG-CHEONG-BUKDO,202.23,201.71,207.94,243.02,222.15,195.07,209.3,215.45,226.48,227.25,197.24,206.36,193.14,195.6,196.62,217.89,201.09,187.66,205,212.72,226.8,222.21,195.14,204.06,188.82,189.33,190.23,231.46,201.05,183.33,198.9,206.72,217.74,221.99,198.11,197.55,183.03,185.37,194.32,247.18,219.79,181.96,195.89,201.62,213.84,217.72,186.06,196.54,180.07,181.43,200.79,239.75,143.72,143.27,154.86,148.95,151.83,162.76,138,143.74,134.4,147.49,160.33,183.57,151.14,134.52
CHUNG-CHEONG-NAMDO,202.48,201.23,205.39,243.43,228.05,195.31,207.39,214.26,226.55,228.19,198.34,207.39,194.97,196.22,196.84,220.35,204.75,189.78,204.95,214.2,227.16,211.87,203.02,199.91,192.39,192.63,211.94,218.81,195.94,191.46,202.3,212.07,220.03,210.5,198.3,191.72,185.99,190.71,220.78,234.91,203.21,188.55,196.9,205.86,214.28,202.08,191.84,189.2,182.73,191.58,224.02,227.3,193.47,185.41,196.14,209.24,218.67,204.9,191.7,188.14,183.46,191.63,242.43,258.76,205.2,179.41
JEOLLABUK-DO,208.32,206.65,211.66,255.77,232.77,200.38,212.59,220.49,232.57,234.64,203.52,214.09,201.15,201.86,200.52,223.75,209.47,194.92,211.14,220.85,233.48,230.52,204.4,213.41,198.38,197.49,197.83,241.78,208.53,193.5,207.45,216.59,227.69,233.13,207.39,208.29,194.4,194.77,204.39,265.81,229.27,193.54,204.82,211.33,223.68,227.69,195.75,206.93,191.12,191.75,207.69,260.44,213.18,189.87,201.06,212.05,226.67,230.13,197.68,203.43,190.25,191.85,206.87,298.72,234.79,186.74
