,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
SEOUL,1846891.377,640739.4065,841569,874131,768860,799391,2184346,1981199,1384406.433,1546123.261,845145.9,1165462,1599194,1249721,902858,809665,884477,1075409
BUSAN,37527898.08,38495982.59,26550923,51006660,47218627,37424885,38074350,35685485,39131349.21,40885522.89,36058741.38,37657231,35738820,36526608,35779813,36169111,28266679,26625596
DAEGU,2877895.502,2649458.583,2673615,3105758,2816369,513395,302056,264243,197978.005,146950.342,123589.336,113907,131201,137565,144580,134805,118450,121828
INCHEON,60052894.8,62929390.03,62555723,65939273,68377707,73425270,80861254,76386995,68952842.38,62767222.74,54308250.86,49316491,44781497,39145681,33726808,27945113,21735272,22608174
GWAGN-JU,562074.508,514494.2276,480426,429418,383433,399737,581864,138121,37369.721,37852.148,5457.842,7701,11478,17419,13166,13733,802,0
DAE-JEON,167975.238,183668.7981,184668,186769,168642,151727,231663,239222,156053.516,195644.676,187958.478,203207,234641,216837,217146,264755,182435,213946
UL-SAN,29016048.83,20588807.14,22677064,13583162,9065208,9961740,14048956,14609288,10749542.87,10149653.77,8465778.073,8103303,11182401,10424658,10581146,11655794,10072245,10569580
GYEONGGI-DO,73976878.24,74188981.98,61850744,57085319,45075935,28777547,30309811,28546977,23791336.23,22203575.26,17545972.17,17731467,19095275,16694238,17540668,15715176,18504469,18144211
GANGWON-DO,28715887.71,30980843.51,20911898,10598883,8066843,10011236,12206499,11582557,12046834.34,8935162.202,7515371.011,6822709,5713912,5262586,4706870,5165882,5414429,4933536
CHUNGCHEONGBUK-DO,1604430.71,1626983.225,1293887,1156380,687366,808047,1285358,1264902,1580100.297,1150327.783,825738.266,917368,1229683,1189270,1307779,1414103,1651639,970904
CHUNGCHEONGNAM-DO,123904967.2,129631997.7,131897043,111645164,114076266,122694924,121230287,118763839,118040688.5,118271670.9,107224713.9,107216120,96253689,82799958,78028417,77673369,72764064,69836554
JEOLLABUK-DO ,12282266.95,11742504.53,9715713,9674002,6539840,7618852,7927838,7765133,7181311.279,4294870.315,1072400.795,1023244,689016,797008,987269,932129,1547279,1252727
JEOLLANAM-DO ,55753829.25,60066483.57,66047667,69054766,78460707,77493308,67705185,64461509,69480707.74,68152724.51,65611661.05,61136616,60025420,60747503,57241042,50432669,52695261,46273404
GYEONGSANGBUK-DO,79827085.67,76124555.51,84097328,81884729,84607657,73125603,68716362,70202138,71706038.22,70621571.79,71951251.47,76121810,72786922,73967001,71230406,61887309,56594743,52705298
GYEONGSANGNAM-DO,48465021.57,53192098.49,55565893,58252913,58739603,75684560,68300364,74601938,69578814.03,62567626.51,59177399.86,52455358,51298701,49930848,50392078,50284904,50521793,49638106
